step,train_loss,train_val_mse,test_val_mse,time_seconds
10,1.113248738875756,1.1045944690704346,1.1699228286743164,12.930580854415894
20,1.0795733066705557,1.077303409576416,1.1452362537384033,18.695108890533447
30,1.0607766123918387,1.072451114654541,1.1437190771102905,20.04323434829712
40,1.0609627228516798,1.0686405897140503,1.1527453660964966,21.42314076423645
50,1.0502352045132564,1.063773512840271,1.1311864852905273,22.774115800857544
60,1.0537549174748935,1.0604766607284546,1.1303645372390747,31.146578311920166
70,1.0450077827160176,1.0589210987091064,1.1332895755767822,32.63413691520691
80,1.050753992337447,1.055764079093933,1.125411033630371,34.02078413963318
90,1.0431011906036964,1.0533850193023682,1.122771978378296,35.35857343673706
100,1.0392856946358313,1.0556832551956177,1.1289838552474976,36.707324743270874
110,1.0430726115520184,1.053680419921875,1.115243911743164,38.10402059555054
120,1.0431316412412204,1.0539387464523315,1.1205862760543823,39.42998147010803
130,1.0439325396831218,1.0558342933654785,1.134846568107605,40.73913908004761
140,1.0395366714550898,1.053971767425537,1.1114104986190796,42.04764413833618
150,1.0415564261949979,1.0535041093826294,1.1033923625946045,43.363672494888306
160,1.0425038548616263,1.0520490407943726,1.1052119731903076,44.78224992752075
170,1.0444647899040809,1.0519992113113403,1.0935564041137695,46.10687279701233
180,1.037330488058237,1.0520676374435425,1.1038844585418701,47.432419538497925
190,1.0383353169147784,1.0541499853134155,1.1018385887145996,48.77602767944336
200,1.033151554144346,1.050025463104248,1.0994858741760254,50.11060285568237
210,1.04033084832705,1.0499571561813354,1.0908489227294922,51.55579113960266
220,1.0346854732586788,1.051008701324463,1.113138198852539,52.89498257637024
230,1.0348595032325159,1.0497503280639648,1.1122709512710571,54.19292855262756
240,1.034754214837001,1.0489203929901123,1.1002799272537231,55.512974977493286
250,1.0423382749924293,1.0532280206680298,1.1098154783248901,56.827954053878784
260,1.0345851320486803,1.0531704425811768,1.1098700761795044,58.26282000541687
270,1.0343923559555641,1.0501065254211426,1.114832878112793,59.59169006347656
280,1.0306063615358794,1.0468270778656006,1.0882763862609863,60.895113468170166
290,1.0278450837502113,1.0498847961425781,1.0845725536346436,62.213483572006226
300,1.0299250015845665,1.0455039739608765,1.0919476747512817,63.57328772544861
310,1.0290224937292245,1.0493053197860718,1.1054704189300537,65.00361680984497
320,1.0347457225506123,1.043776273727417,1.0963788032531738,66.31810426712036
330,1.0358188500771155,1.0509462356567383,1.0851144790649414,67.63252878189087
340,1.0279265843904934,1.0492832660675049,1.1039022207260132,68.96052265167236
350,1.0292762499589188,1.0458271503448486,1.0908206701278687,70.25380897521973
360,1.027590550826146,1.0494775772094727,1.1191868782043457,71.6905665397644
370,1.0307799495183505,1.042655348777771,1.0777665376663208,72.98706126213074
380,1.0340344392336331,1.042663812637329,1.1059975624084473,74.3094584941864
390,1.0295155864495498,1.043332576751709,1.0822969675064087,75.6173255443573
400,1.0274945112375113,1.0399563312530518,1.0875047445297241,76.9199435710907
410,1.031109327536363,1.0385115146636963,1.0963338613510132,78.3414568901062
420,1.0289049203579241,1.0387619733810425,1.0923999547958374,79.70636534690857
430,1.0161678919425376,1.0422502756118774,1.1161212921142578,81.06224036216736
440,1.0199177797024066,1.03553307056427,1.088458776473999,82.37049102783203
450,1.0263309084452115,1.035923719406128,1.0824530124664307,83.68666410446167
460,1.0195747311298664,1.0380374193191528,1.093666911125183,85.06773519515991
470,1.0296049686578603,1.0377436876296997,1.0774551630020142,86.3587098121643
480,1.0215231326910166,1.0380488634109497,1.0912792682647705,87.66196465492249
490,1.0255197543364305,1.0347429513931274,1.0818870067596436,88.98837065696716
500,1.0224317449789782,1.0363112688064575,1.1056488752365112,90.30126404762268
510,1.0238211430036104,1.0347497463226318,1.0857805013656616,91.76371645927429
520,1.023016720551711,1.040852427482605,1.0781935453414917,93.1227159500122
530,1.0184347436978267,1.0372313261032104,1.114646077156067,94.52164769172668
540,1.0172572071735675,1.0375550985336304,1.094880223274231,95.8525984287262
550,1.0181961032060476,1.0329258441925049,1.1050828695297241,97.44760942459106
560,1.0219864047490634,1.029481053352356,1.0929080247879028,98.92204999923706
570,1.016803514957428,1.032336950302124,1.0953660011291504,100.31565976142883
580,1.0209701363856976,1.036500096321106,1.0967328548431396,101.65272164344788
590,1.0175857910743127,1.0326780080795288,1.0885450839996338,103.01520037651062
600,1.0208541292410631,1.0331982374191284,1.1002687215805054,105.13132786750793
610,1.0211354521604685,1.0263309478759766,1.091769814491272,106.87910509109497
620,1.0116749855188223,1.0308858156204224,1.0865347385406494,108.72273230552673
630,1.012183928489685,1.0295591354370117,1.0858815908432007,110.1264796257019
640,1.0155475698984586,1.0295941829681396,1.119304895401001,111.63174843788147
650,1.0189136541806734,1.0286684036254883,1.0957591533660889,113.007572889328
660,1.0190359656627361,1.0262959003448486,1.1115837097167969,114.75588035583496
670,1.0122603453122652,1.0236129760742188,1.0957471132278442,116.15155982971191
680,1.0136962257898772,1.025422215461731,1.0991185903549194,117.49508476257324
690,1.012993102807265,1.021966814994812,1.0952785015106201,119.26194930076599
700,1.0130496786190912,1.0242900848388672,1.1055803298950195,120.63759255409241
710,1.011996277479025,1.0200201272964478,1.1025925874710083,122.17194294929504
720,1.011168307524461,1.0231287479400635,1.1208657026290894,123.50140023231506
730,1.0066164126762978,1.0268778800964355,1.136621117591858,124.90168237686157
740,1.0139339960538425,1.0227173566818237,1.1019036769866943,126.21510648727417
750,1.0147139320006737,1.0217911005020142,1.0981791019439697,127.58488535881042
760,1.017878266481253,1.021079421043396,1.1240558624267578,129.16850972175598
770,1.010559460749993,1.0212364196777344,1.0996897220611572,130.76668739318848
780,1.0089684954056373,1.0225337743759155,1.1132867336273193,132.13261437416077
790,1.0046640176039476,1.027517318725586,1.1305263042449951,133.50127291679382
800,1.011865969804617,1.0201880931854248,1.1220581531524658,134.89200615882874
810,1.008441295990577,1.0207414627075195,1.0920735597610474,136.31197357177734
820,1.0167167526025038,1.0256096124649048,1.1489533185958862,137.67071866989136
830,1.006033890063946,1.0208989381790161,1.1067416667938232,139.0092270374298
840,1.0073782416490409,1.0199636220932007,1.0873943567276,140.36134243011475
850,1.0059924529148982,1.014220952987671,1.1004458665847778,141.6766722202301
860,1.0032178172698387,1.0173426866531372,1.0919257402420044,143.44916939735413
870,1.0066614673687861,1.0168036222457886,1.0986148118972778,144.8184847831726
880,1.0005295496720534,1.017356276512146,1.1160920858383179,146.18164229393005
890,1.0017526883345385,1.0178145170211792,1.1176207065582275,147.56949996948242
900,1.0027106505173904,1.0133470296859741,1.1151845455169678,148.9566843509674
910,1.0009538769721984,1.0238559246063232,1.0819305181503296,150.36586165428162
920,1.004841411113739,1.014784574508667,1.1063908338546753,151.83613204956055
930,1.0050888180732727,1.015947937965393,1.1409116983413696,153.1987910270691
940,1.003692236313453,1.013433575630188,1.1003261804580688,154.58900904655457
950,1.0043324057872478,1.0172113180160522,1.0754144191741943,156.52562046051025
960,1.0009449775402361,1.016107439994812,1.0818222761154175,158.08093690872192
970,0.9999349759175227,1.0161269903182983,1.0984045267105103,159.46627068519592
980,1.003382448049692,1.0221151113510132,1.1224287748336792,160.87928557395935
990,0.9971126143748944,1.0136915445327759,1.1152329444885254,162.3921935558319
1000,0.9977056319896992,1.0119893550872803,1.1150394678115845,164.12280130386353
1010,1.0036553841370803,1.0113447904586792,1.107301950454712,165.91821670532227
1020,1.002450377207536,1.0118669271469116,1.1200875043869019,167.3349711894989
1030,1.0110963491293101,1.0144505500793457,1.109418511390686,168.75910830497742
1040,1.0025522626363315,1.0159538984298706,1.095139741897583,170.1219048500061
1050,0.9989581337341895,1.0116432905197144,1.1077243089675903,171.5806758403778
1060,0.997232721402095,1.0107638835906982,1.092086672782898,173.03852915763855
1070,0.9969971665969262,1.015208125114441,1.1220084428787231,174.39072442054749
1080,0.9989467299901522,1.0120574235916138,1.108890414237976,175.74611806869507
1090,0.9928448612873371,1.0119503736495972,1.1178849935531616,177.48124742507935
1100,0.9976294600046598,1.0136529207229614,1.1119179725646973,179.04666900634766
1110,0.9963221137340252,1.0074135065078735,1.0993449687957764,180.69508934020996
1120,0.9973192957731394,1.0110020637512207,1.0828051567077637,182.11754417419434
1130,1.0001690561954792,1.0132492780685425,1.105332612991333,183.4803228378296
1140,0.9976175436606773,1.0100536346435547,1.1218349933624268,184.84849905967712
1150,0.9949454830243037,1.0107965469360352,1.1063151359558105,186.22435426712036
1160,0.9983026669575618,1.0058565139770508,1.0995060205459595,187.6786105632782
1170,0.9942953192270719,1.010133981704712,1.1154439449310303,189.0983281135559
1180,1.0014929046997658,1.0123846530914307,1.0913312435150146,191.0705635547638
1190,1.002881015264071,1.0149707794189453,1.128975749015808,192.46643948554993
1200,0.9965612319799569,1.0149204730987549,1.1098905801773071,193.88104248046875
1210,0.9928830376038185,1.007138729095459,1.1176249980926514,195.3609127998352
1220,1.0063590324842013,1.010831356048584,1.0910664796829224,196.7112729549408
1230,0.9958463531274062,1.0128811597824097,1.120452642440796,198.02215337753296
1240,0.997226935166579,1.006507158279419,1.09428870677948,199.4991409778595
1250,0.9934657225242027,1.0076693296432495,1.0898370742797852,201.6229338645935
1260,0.9957452233021076,1.0092195272445679,1.1069834232330322,203.34596014022827
1270,0.9881796580094557,1.0091460943222046,1.082801342010498,204.93370485305786
1280,0.9934035557966966,1.00532066822052,1.1058417558670044,206.5525152683258
1290,0.9941950119458712,1.0026214122772217,1.0973474979400635,208.02752304077148
1300,0.9975185779424814,1.00442636013031,1.1350184679031372,209.37274980545044
1310,0.9968654495019179,1.0075340270996094,1.0992116928100586,210.89345717430115
1320,0.9894492983818054,1.007530689239502,1.1084102392196655,212.23490452766418
1330,0.9973735699286828,1.00764799118042,1.0906466245651245,213.5942211151123
1340,0.9976778131264906,1.0062098503112793,1.0925277471542358,215.4584617614746
1350,0.9963085027841422,1.0151028633117676,1.1350387334823608,216.89652943611145
1360,0.9970083860250619,1.0054113864898682,1.0864204168319702,218.44896292686462
1370,0.9942207033817585,1.0030055046081543,1.100117564201355,220.00794291496277
1380,0.9914091064379765,1.0077228546142578,1.0954618453979492,221.60219311714172
1390,0.9917855418645418,1.0052552223205566,1.1052823066711426,223.13851046562195
1400,0.9905475423886225,1.006666660308838,1.0898656845092773,224.56656432151794
1410,0.9929963680414053,1.0056625604629517,1.0882271528244019,226.66531372070312
1420,1.0001245581186735,1.008300542831421,1.0976066589355469,228.34054803848267
1430,1.000681694654318,1.0061122179031372,1.1275548934936523,230.61135029792786
1440,0.9892767071723938,1.0018517971038818,1.1038389205932617,232.52745127677917
1450,0.9960547713133004,1.0009143352508545,1.0908536911010742,234.16265511512756
1460,0.9888457628396842,1.0022448301315308,1.0922880172729492,235.8235981464386
1470,0.9895060566755441,1.0029925107955933,1.1131495237350464,237.23486995697021
1480,0.992119653408344,1.0026785135269165,1.0921558141708374,238.56949663162231
1490,0.9932315762226398,1.0047260522842407,1.1165564060211182,239.95286417007446
1500,0.9979712908084576,1.0086710453033447,1.151534080505371,241.3198471069336
1510,0.9876836620844327,1.002912998199463,1.0950274467468262,243.47955751419067
1520,0.9900525047228886,1.0026911497116089,1.1064971685409546,244.93156671524048
1530,0.987029808301192,1.003814697265625,1.0985991954803467,246.47641611099243
1540,0.9867813092011671,1.0074089765548706,1.106615662574768,249.26986575126648
1550,0.9926973297045781,0.9999984502792358,1.0958911180496216,251.27307176589966
1560,0.999500428713285,1.003109097480774,1.1280828714370728,252.85003185272217
1570,0.9871823329191941,1.0051021575927734,1.112980604171753,254.73760747909546
1580,0.9911768014614398,1.0072427988052368,1.0892013311386108,256.33639335632324
1590,0.9928589591613183,1.0030874013900757,1.097976803779602,258.2744266986847
1600,0.991265618801117,1.0029287338256836,1.1170035600662231,260.01823329925537
1610,0.9871644955414992,1.0017914772033691,1.089889645576477,261.608761548996
1620,0.9972992365176861,1.0031203031539917,1.106408715248108,263.02690601348877
1630,0.9856939755953276,1.0047041177749634,1.1177555322647095,264.400249004364
1640,0.9904800708477314,1.007163166999817,1.1347270011901855,265.80315113067627
1650,0.9785769352546105,1.0002408027648926,1.0897855758666992,267.6689841747284
1660,0.9893364814611582,1.0060127973556519,1.1174143552780151,270.25399565696716
1670,0.9833704535777752,1.0027590990066528,1.1089985370635986,271.71483755111694
1680,0.9918976536163917,1.0045074224472046,1.075156331062317,273.2069888114929
1690,0.9865406880011925,1.006981372833252,1.086301326751709,274.6286201477051
1700,0.9906538403951205,1.0030215978622437,1.1070014238357544,276.07113432884216
1710,0.9854719244516813,1.0009154081344604,1.0959869623184204,277.6144874095917
1720,0.9858663852398212,1.004569172859192,1.1223620176315308,279.0830044746399
1730,0.9866199906055744,1.0022119283676147,1.0848623514175415,280.76188349723816
1740,0.9923738177006062,1.0017964839935303,1.1349842548370361,282.12473487854004
1750,0.9890946892591623,1.0052450895309448,1.124082088470459,283.4538872241974
1760,0.9898460874190698,1.0023640394210815,1.1194775104522705,284.90276527404785
1770,0.9898998984923729,1.0050417184829712,1.1476906538009644,286.2485456466675
1780,0.9851280542520376,1.0009608268737793,1.0912038087844849,287.6026382446289
1790,0.991090190410614,0.9992786049842834,1.1051887273788452,289.00986194610596
1800,0.9854035634260911,1.0005635023117065,1.0938838720321655,290.4083993434906
1810,0.9840014164264386,0.9955210089683533,1.091921091079712,291.87926054000854
1820,0.988357410981105,1.0043033361434937,1.123060703277588,293.2358589172363
1830,0.9806297017977788,1.0003432035446167,1.0965720415115356,294.5957729816437
1840,0.9905490838564359,1.0014759302139282,1.1001086235046387,295.9391944408417
1850,0.9886114496451158,0.9979528188705444,1.1083476543426514,297.2678017616272
1860,0.9832878442911002,0.9988213181495667,1.1033103466033936,298.70065116882324
1870,0.9851870390085073,0.9992060661315918,1.1121034622192383,300.0365128517151
1880,0.9899719678438627,0.9989587068557739,1.1101219654083252,301.36189222335815
1890,0.9819775819778442,1.0016039609909058,1.1194419860839844,302.69272923469543
1900,0.9847312963925875,1.002486228942871,1.095834493637085,304.02141523361206
1910,0.984689854658567,0.9986535906791687,1.0978171825408936,305.44146609306335
