step,energy_score,time_seconds
50,1.5185790061950684,29.334478855133057
100,1.5643714666366577,53.24874210357666
150,1.6122853755950928,65.08063220977783
200,1.7322827577590942,74.27894353866577
250,1.7560172080993652,83.13097047805786
300,2.068509340286255,91.96950960159302
350,2.2444357872009277,101.8878960609436
400,1.4654481410980225,110.17686724662781
450,1.799945592880249,119.4541392326355
500,2.1580655574798584,135.5431525707245
550,1.7900869846343994,150.03790020942688
600,1.9133360385894775,163.07651686668396
650,1.8657981157302856,177.49666142463684
700,1.7117586135864258,189.24880075454712
750,2.06317400932312,200.95898962020874
800,1.7715660333633423,215.10059475898743
850,1.7457542419433594,228.99369502067566
900,1.3006000518798828,248.57304692268372
950,2.142573356628418,264.32943630218506
1000,1.74602472782135,279.06298565864563
1050,2.077421188354492,295.38976526260376
1100,1.6185545921325684,310.49015974998474
1150,1.6188095808029175,324.5619878768921
1200,1.693588137626648,339.352411031723
1250,2.0755319595336914,356.3887119293213
1300,1.9918367862701416,375.62328004837036
1350,1.7896556854248047,392.4283537864685
1400,1.9462928771972656,409.64727687835693
