epoch,train_loss,test_loss,train_accuracy,test_accuracy,time_seconds
0,4.62,4.634203164615429,0.1,0.01,0.0
1000,1.3593269216510688,4.548413996499505,0.6625872973574163,0.012,20.0
2000,0.42512844371121755,4.526162871409462,0.8695515979194147,0.014,40.0
3000,0.15747609856196162,4.5698554188527085,0.9456895091526011,0.016,60.0
4000,0.08079241778582058,4.510642905965959,0.9736990813890265,0.018000000000000002,80.0
5000,0.0501839410323326,4.486350176910806,0.9820294308573206,0.020000000000000004,100.0
6000,0.050101231676924374,4.444873378936659,0.98321616102835,0.022,120.0
7000,0.06383790395385387,4.382426930946056,0.9930392251900519,0.024,140.0
8000,0.06424358442695072,4.362539969815927,0.984744981749936,0.026000000000000002,160.0
9000,0.06492982810236049,4.3849223410494185,0.9929926579809443,0.027999999999999997,180.0
10000,0.06315225784600687,4.279367476782809,0.9913661720667094,0.030000000000000006,200.0
11000,0.057354316061188675,4.264398964337909,0.9853040473536345,0.032,220.0
12000,0.06946021109504891,4.299204655517712,0.9878619544933351,0.034,240.0
13000,0.06262277251994526,4.2302637093105195,0.995896226070833,0.036000000000000004,260.0
14000,0.061538077692527185,4.1695242987798045,0.9898503538763772,0.038000000000000006,280.0
15000,0.0644490423052301,4.122431596643145,0.9856154472488171,0.04,300.0
16000,0.06290944591814336,4.184045858435291,0.983542213588141,0.042,320.0
17000,0.06907857154005176,4.097015870025545,0.998297287804409,0.044000000000000004,340.0
18000,0.05030913233057735,4.0728184148317315,0.9985663712517545,0.046,360.0
19000,0.0693330963808734,4.085300945546736,0.999272399541785,0.04800000000000001,380.0
20000,0.05588897784139172,4.055113667151686,0.9877019545720385,0.05000000000000001,400.0
21000,0.05633844010312555,3.9956801262458352,0.9833898549337219,0.052000000000000005,420.0
22000,0.06872309548321562,3.967006117008937,0.9939205959334995,0.054000000000000006,440.0
23000,0.051943529875415374,3.9790053850104266,0.9923001445339834,0.05600000000000001,460.0
24000,0.05280168030473048,3.937737307192796,0.9903665930472747,0.058,480.0
25000,0.0648153723550841,3.890248408398711,0.9939403148199053,0.060000000000000005,500.0
26000,0.057189823024395105,3.870936115547851,0.9858718368852899,0.062000000000000006,520.0
27000,0.06620226789358362,3.851324055255647,0.997341446371602,0.064,540.0
28000,0.06022684797721876,3.809829517896678,0.990030325893744,0.066,560.0
29000,0.06299927861555531,3.7795792669436103,0.9940393375451541,0.06799999999999999,580.0
30000,0.06780010683635133,3.7075582952639947,0.9867599031370307,0.06999999999999999,600.0
31000,0.05187963879681738,3.643594227379675,0.9915656028199235,0.072,620.0
32000,0.059311960362649206,3.638654125212829,0.9908528926941516,0.074,640.0
33000,0.06181666521138022,3.5837348188749214,0.9806100049987809,0.076,660.0
34000,0.06645201121319316,3.562706051265189,0.9872038128282252,0.078,680.0
